65.131.158.23 - - [28/Nov/2013:08:05:22 +0100] "-" 408 0 "-" "-"
95.78.211.99 - - [28/Nov/2013:08:07:37 +0100] "-" 408 0 "-" "-"
95.59.192.25 - - [28/Nov/2013:08:09:36 +0100] "-" 408 0 "-" "-"
46.129.83.39 - - [28/Nov/2013:08:24:37 +0100] "-" 408 0 "-" "-"
88.148.169.12 - - [28/Nov/2013:09:40:50 +0100] "\x80w\x01\x03\x01" 501 290 "-" "-"
88.148.169.12 - - [28/Nov/2013:09:40:50 +0100] "GET /HNAP1/ HTTP/1.1" 404 499 "http://92.132.131.212/" "Mozilla/5.0 Galeon/1.0.2 (X11; Linux i686; U;) Gecko/20011224"
2.14.41.96 - - [28/Nov/2013:22:48:55 +0100] "-" 408 0 "-" "-"
88.159.4.15 - - [29/Nov/2013:08:36:20 +0100] "-" 408 0 "-" "-"
23.228.192.206 - - [29/Nov/2013:14:11:45 +0100] "GET /w00tw00t.at.blackhats.romanian.anti-sec:) HTTP/1.1" 404 486 "-" "ZmEu"
23.228.192.206 - - [29/Nov/2013:14:11:46 +0100] "GET /phpMyAdmin/scripts/setup.php HTTP/1.1" 404 477 "-" "ZmEu"
23.228.192.206 - - [29/Nov/2013:14:11:46 +0100] "GET /phpmyadmin/scripts/setup.php HTTP/1.1" 404 476 "-" "ZmEu"
23.228.192.206 - - [29/Nov/2013:14:11:47 +0100] "GET /pma/scripts/setup.php HTTP/1.1" 404 471 "-" "ZmEu"
23.228.192.206 - - [29/Nov/2013:14:11:47 +0100] "GET /myadmin/scripts/setup.php HTTP/1.1" 404 475 "-" "ZmEu"
23.228.192.206 - - [29/Nov/2013:14:11:48 +0100] "GET /MyAdmin/scripts/setup.php HTTP/1.1" 404 476 "-" "ZmEu"
178.196.199.121 - - [29/Nov/2013:16:01:36 +0100] "i" 501 286 "-" "-"
95.137.128.34 - - [29/Nov/2013:20:10:31 +0100] "GET / HTTP/1.1" 200 2255 "http://92.132.131.212/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; .NET CLR 1.1.4322; .NET CLR 1.0.3705)"
201.161.37.93 - - [29/Nov/2013:20:14:31 +0100] "GET /manager/html HTTP/1.1" 404 501 "-" "Mozilla/5.0 (Windows NT 5.1; rv:5.0) Gecko/20100101 Firefox/5.0"
94.102.49.37 - - [29/Nov/2013:21:33:55 +0100] "GET /cgi-bin/php HTTP/1.0" 404 485 "-" "-"
94.102.49.37 - - [29/Nov/2013:22:16:56 +0100] "GET /cgi-bin/php5 HTTP/1.0" 404 486 "-" "-"
94.102.49.37 - - [29/Nov/2013:22:51:23 +0100] "GET /cgi-bin/php4 HTTP/1.0" 404 486 "-" "-"
90.84.144.129 - - [29/Nov/2013:23:08:43 +0100] "GET / HTTP/1.1" 200 2199 "-" "Mozilla/5.0 (Linux; U; Android 2.3.4; fr-fr; SonyEricssonWT19i-o Build/4.0.2.A.0.62) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"
90.84.144.129 - - [29/Nov/2013:23:08:44 +0100] "GET /styles.css HTTP/1.1" 200 994 "http://area-net.no-ip.biz/" "Mozilla/5.0 (Linux; U; Android 2.3.4; fr-fr; SonyEricssonWT19i-o Build/4.0.2.A.0.62) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"
90.84.144.129 - - [29/Nov/2013:23:08:45 +0100] "GET /img/forum_button.png HTTP/1.1" 200 1968 "http://area-net.no-ip.biz/" "Mozilla/5.0 (Linux; U; Android 2.3.4; fr-fr; SonyEricssonWT19i-o Build/4.0.2.A.0.62) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"
90.84.144.129 - - [29/Nov/2013:23:08:45 +0100] "GET /img/header_invert.png HTTP/1.1" 200 13208 "http://area-net.no-ip.biz/" "Mozilla/5.0 (Linux; U; Android 2.3.4; fr-fr; SonyEricssonWT19i-o Build/4.0.2.A.0.62) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"
90.84.144.129 - - [29/Nov/2013:23:08:46 +0100] "GET /img/button.png HTTP/1.1" 200 562 "http://area-net.no-ip.biz/" "Mozilla/5.0 (Linux; U; Android 2.3.4; fr-fr; SonyEricssonWT19i-o Build/4.0.2.A.0.62) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"
90.84.144.129 - - [29/Nov/2013:23:08:46 +0100] "GET /img/button_le_jeu.png HTTP/1.1" 200 1677 "http://area-net.no-ip.biz/" "Mozilla/5.0 (Linux; U; Android 2.3.4; fr-fr; SonyEricssonWT19i-o Build/4.0.2.A.0.62) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"
90.84.144.129 - - [29/Nov/2013:23:08:46 +0100] "GET /img/bg_big_40.png HTTP/1.1" 200 5801 "http://area-net.no-ip.biz/" "Mozilla/5.0 (Linux; U; Android 2.3.4; fr-fr; SonyEricssonWT19i-o Build/4.0.2.A.0.62) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"
90.84.144.129 - - [29/Nov/2013:23:08:48 +0100] "GET /favicon.ico HTTP/1.1" 404 449 "http://area-net.no-ip.biz/" "Mozilla/5.0 (Linux; U; Android 2.3.4; fr-fr; SonyEricssonWT19i-o Build/4.0.2.A.0.62) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"
